device_id,boat_type
17180,fishing boat
17182,safari
17187,speed boat
17188,speed boat
17199,speed boat
17213,dinghy
17218,speed boat
17222,speed boat
17231,speed boat
17239,speed boat
17245,speed boat
17246,speed boat
17249,speed boat
17262,supply boat
17283,supply boat
17295,fishing boat
17305,speed boat
17312,supply boat
17320,passenger ferry
17324,Bus
17327,safari
17339,safari
17344,speed boat
17345,speed boat
17346,speed boat
17347,speed boat
17371,speed boat
17377,speed boat
17378,excursion boat
17380,speed boat
17381,supply boat
17384,speed boat
17387,Bus
17394,speed boat
17395,speed boat
17398,speed boat
17426,speed boat
17435,speed boat
17448,supply boat
17475,safari
17477,speed boat
17484,supply boat
17485,speed boat
17497,speed boat
17514,excursion boat
17519,speed boat
17520,speed boat
17521,speed boat
17529,supply boat
17547,speed boat
17556,supply boat
17559,supply boat
17563,supply boat
17564,speed boat
17568,speed boat
17570,speed boat
17575,speed boat
17577,dinghy
17593,supply boat
17595,speed boat
17606,supply boat
17618,speed boat
17634,dinghy
17641,safari
17647,supply boat
17650,speed boat
17666,speed boat
17667,supply boat
17675,supply boat
17681,speed boat
17685,supply boat
17687,speed boat
17688,speed boat
17689,speed boat
17690,speed boat
17691,speed boat
17692,speed boat
17693,speed boat
17694,speed boat
17695,speed boat
17696,speed boat
17704,supply boat
17707,speed boat
17711,speed boat
17723,speed boat
17745,speed boat
17756,speed boat
17759,speed boat
17766,speed boat
17779,speed boat
17780,speed boat
17784,speed boat
17787,supply boat
17795,speed boat
17804,speed boat
17805,speed boat
17815,excursion boat
17816,safari
17819,supply boat
17821,supply boat
17838,speed boat
17852,supply boat
17855,speed boat
17880,tug boat
17883,passenger ferry
17890,speed boat
17894,supply boat
17896,speed boat
17897,dinghy
17898,speed boat
17899,speed boat
17901,speed boat
17902,speed boat
17903,speed boat
17906,speed boat
17907,passenger ferry
17909,speed boat
17930,supply boat
17947,tug boat
17955,safari
17974,speed boat
17979,speed boat
17986,tug boat
17988,supply boat
17990,supply boat
17992,speed boat
17993,supply boat
17999,speed boat
18006,speed boat
18018,speed boat
18020,speed boat
18021,speed boat
18023,speed boat
18025,speed boat
18027,safari
18029,supply boat
18031,speed boat
18037,supply boat
18040,speed boat
18043,supply boat
18044,speed boat
18045,speed boat
18049,speed boat
18050,passenger ferry
